Cre07.g312002.t1.1	Cre07.g312002.t1.1; Cre17.g733986.t1.2; Cre09.g390689.t1.1; Cre16.g683954.t1.1; Cre01.g038376.t1.1; Cre03.g161976.t1.1	79; 68; 86; 55; 68; 94	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
Cre07.g333570.t1.1	Cre07.g333570.t1.1; Cre08.g373350.t1.2; Cre10.g445275.t1.1	450; 461; 409	Pfam	PF00078; PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain; Reverse transcriptase domain
Cre07.g333711.t1.1	Cre01.g006301.t1.1; Cre07.g333711.t1.1	57; 57	Pfam	; 	; 	; 	; 
Cre07.g333746.t1.1	Cre07.g333746.t1.1; Cre12.g484834.t1.1	1047; 1017	Pfam	PF00628; 	PHD-finger; 	IPR019787; 	Zinc finger, PHD-finger; 
Cre07.g333781.t1.1	Cre07.g333781.t1.1; Cre08.g362036.t1.2	71; 98	Pfam	; 	; 	; 	; 
Cre07.g333816.t1.1	Cre07.g333816.t1.1; Cre21.g753097.t1.1	827; 811	Pfam	PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain
Cre07.g334776.t1.1	Cre07.g334776.t1.1; Cre09.g386125.t1.1; Cre11.g483301.t1.1; Cre17.g692676.t1.1; Cre12.g536776.t1.1; Cre16.g689766.t1.1; Cre10.g417741.t1.1; Cre13.g563876.t1.1; Cre13.g573850.t1.1; Cre01.g058156.t1.1; Cre12.g548702.t1.1; Cre17.g742116.t1.1; Cre02.g119484.t1.2	60; 86; 57; 87; 59; 98; 87; 58; 85; 80; 61; 91; 101	Pfam	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 
Cre07.g335451.t1.1	Cre07.g335451.t1.1; Cre13.g583861.t1.1; Cre12.g510751.t1.1; Cre01.g072027.t1.1; Cre09.g413566.t1.1	1034; 1082; 1082; 1074; 1011	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre07.g336300.t1.1	Cre07.g336300.t1.1; Cre12.g499150.t1.1; Cre14.g633250.t1.2	292; 269; 296	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g337200.t1.2	Cre07.g337200.t1.2; Cre09.g404850.t1.1	160; 190	Pfam	; 	; 	; 	; 
Cre07.g338700.t1.1	Cre07.g338700.t1.1; Cre07.g338800.t2.1	232; 187	Pfam	PF04676; PF04676	Protein similar to CwfJ C-terminus 2; Protein similar to CwfJ C-terminus 2	IPR006767; IPR006767	Cwf19-like protein, C-terminal domain-2; Cwf19-like protein, C-terminal domain-2
Cre07.g338750.t1.1	Cre07.g338750.t1.1; Cre07.g338850.t1.2	528; 524	Pfam	; 	; 	; 	; 
Cre07.g339150.t1.1	Cre07.g339150.t1.1; Cre17.g741450.t1.2	578; 582	Pfam	PF00118; PF00118	TCP-1/cpn60 chaperonin family; TCP-1/cpn60 chaperonin family	IPR002423; IPR002423	Chaperonin Cpn60/TCP-1 family; Chaperonin Cpn60/TCP-1 family
Cre07.g339926.t1.1	Cre07.g339926.t1.1; Cre09.g386730.t1.1; Cre09.g386476.t1.1; Cre16.g692003.t1.1; Cre17.g703932.t1.2	124; 164; 147; 108; 77	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre07.g341554.t1.1	Cre07.g341554.t1.1; Cre10.g423083.t2.1	384; 392	Pfam	; 	; 	; 	; 
Cre07.g343250.t1.1	Cre07.g343250.t1.1; Cre07.g343300.t1.1	1154; 1160	Pfam	; 	; 	; 	; 
Cre07.g343534.t1.1	Cre07.g343534.t1.1; Cre07.g343567.t1.1	1073; 1063	Pfam	; 	; 	; 	; 
Cre07.g344400.t1.2	Cre07.g344400.t1.2; Cre07.g344550.t1.2	510; 514	Pfam	PF00389, PF02826; PF02826, PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain, D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain, D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	IPR006139, IPR006140; IPR006140, IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain, D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain; D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain, D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
Cre07.g344800.t1.2	Cre07.g344800.t1.2; Cre12.g544111.t1.1	607; 646	Pfam	PF07282; PF07282	Putative transposase DNA-binding domain; Putative transposase DNA-binding domain	IPR010095; IPR010095	Transposase IS605, OrfB, C-terminal; Transposase IS605, OrfB, C-terminal
Cre07.g345100.t1.2	Cre01.g003600.t1.2; Cre13.g585026.t1.1; Cre17.g742750.t1.2; Cre06.g292315.t1.1; Cre06.g254213.t1.1; Cre16.g660700.t1.2; Cre14.g608093.t1.2; Cre07.g345100.t1.2; Cre08.g380100.t1.2; Cre17.g719855.t1.1; Cre06.g301325.t1.1; Cre01.g020751.t1.2	105; 105; 105; 105; 105; 105; 105; 105; 105; 129; 129; 116	Pfam	; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; 
Cre07.g346200.t1.2	Cre07.g346200.t1.2; Cre13.g565270.t1.1; Cre02.g073350.t1.2; Cre02.g085350.t1.1	389; 389; 389; 385	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre07.g346350.t1.2	Cre07.g346350.t1.2; Cre17.g747097.t1.1; Cre02.g100533.t1.1; Cre02.g134124.t1.1; Cre09.g390504.t1.1; Cre16.g686641.t1.1	266; 308; 316; 315; 288; 233	Pfam	PF00650; ; ; ; ; 	CRAL/TRIO domain; ; ; ; ; 	IPR001251; ; ; ; ; 	CRAL-TRIO lipid binding domain; ; ; ; ; 
Cre07.g346850.t1.2	Cre07.g346850.t1.2; Cre07.g346900.t1.1; Cre07.g346950.t1.1	238; 257; 238	Pfam	; ; 	; ; 	; ; 	; ; 
Cre07.g346917.t1.1	Cre07.g346917.t1.1; Cre17.g734532.t1.1; Cre09.g391060.t1.1; Cre24.g755147.t1.1; Cre17.g704802.t1.1; Cre06.g263176.t1.1	83; 119; 133; 125; 116; 124	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
Cre07.g347300.t1.1	Cre07.g347300.t1.1; Cre07.g347400.t1.2	627; 604	Pfam	PF01585, PF01590; PF01585	G-patch domain, GAF domain; G-patch domain	IPR000467, IPR003018; IPR000467	G-patch domain, GAF domain; G-patch domain
Cre07.g348010.t1.1	Cre07.g348010.t1.1; Cre03.g202650.t1.2	254; 284	Pfam	; 	; 	; 	; 
Cre07.g350200.t1.2	Cre07.g350200.t1.2; Cre07.g350250.t1.2	221; 245	Pfam	; 	; 	; 	; 
Cre07.g352000.t1.2	Cre07.g352000.t1.2; Cre07.g352075.t1.1	454; 428	Pfam	; 	; 	; 	; 
Cre07.g353325.t1.1	Cre07.g353325.t1.1; Cre12.g523320.t2.1	137; 99	Pfam	; 	; 	; 	; 
Cre07.g353500.t1.1	Cre07.g353500.t1.1; Cre08.g364400.t1.1	1393; 1379	Pfam	PF00847; PF00847	AP2 domain; AP2 domain	IPR001471; IPR001471	AP2/ERF domain; AP2/ERF domain
Cre07.g356000.t1.2	Cre07.g356000.t1.2; Cre04.g222200.t1.2	405; 389	Pfam	; 	; 	; 	; 
Cre07.g356970.t1.1	Cre07.g356970.t1.1; Cre09.g386500.t1.2	626; 612	Pfam	; 	; 	; 	; 
Cre07.g357200.t1.2	Cre07.g357200.t1.2; Cre06.g278185.t1.1	478; 479	Pfam	PF00984, PF03721, PF03720; PF00984, PF03720, PF03721	UDP-glucose/GDP-mannose dehydrogenase family, central domain, UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain, UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain; UDP-glucose/GDP-mannose dehydrogenase family, central domain, UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain, UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	IPR014026, IPR001732, IPR014027; IPR014026, IPR014027, IPR001732	UDP-glucose/GDP-mannose dehydrogenase, dimerisation, UDP-glucose/GDP-mannose dehydrogenase, N-terminal, UDP-glucose/GDP-mannose dehydrogenase, C-terminal; UDP-glucose/GDP-mannose dehydrogenase, dimerisation, UDP-glucose/GDP-mannose dehydrogenase, C-terminal, UDP-glucose/GDP-mannose dehydrogenase, N-terminal
Cre07.g357486.t1.2	Cre07.g357486.t1.2; Cre04.g220550.t1.2; Cre01.g057426.t1.1	99; 89; 107	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g358150.t1.2	Cre08.g358150.t1.2; Cre16.g688202.t1.1; Cre16.g688100.t1.2	206; 207; 207	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g358450.t1.2	Cre08.g358450.t1.2; Cre02.g111250.t1.2	71; 70	Pfam	; 	; 	; 	; 
Cre08.g358500.t1.2	Cre08.g358500.t1.2; Cre08.g358582.t1.1; Cre15.g634900.t1.2; Cre15.g634913.t1.1	113; 120; 113; 140	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre08.g358545.t1.1	Cre17.g697850.t1.2; Cre08.g358545.t1.1	603; 603	Pfam	; 	; 	; 	; 
Cre08.g358583.t1.1	Cre08.g358583.t1.1; Cre08.g359400.t1.2	195; 199	Pfam	; 	; 	; 	; 
Cre08.g359133.t1.1	Cre08.g359133.t1.1; Cre03.g156476.t1.1; Cre03.g156450.t1.2	61; 55; 76	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g360200.t1.2	Cre08.g360200.t1.2; Cre17.g703800.t1.1; Cre08.g360250.t1.2	673; 671; 722	Pfam	PF00474; PF00474; PF00474	Sodium:solute symporter family; Sodium:solute symporter family; Sodium:solute symporter family	IPR001734; IPR001734; IPR001734	Sodium/solute symporter; Sodium/solute symporter; Sodium/solute symporter
Cre08.g361950.t1.1	Cre08.g361950.t1.1; Cre08.g362050.t1.2; Cre08.g362150.t1.1; Cre08.g362100.t1.1	2885; 2855; 2812; 2849	Pfam	PF13426; PF13426; PF13426; PF13426	PAS domain; PAS domain; PAS domain; PAS domain	IPR000014; IPR000014; IPR000014; IPR000014	PAS domain; PAS domain; PAS domain; PAS domain
Cre08.g363383.t1.1	Cre08.g363383.t1.1; Cre14.g632626.t1.1	76; 67	Pfam	; 	; 	; 	; 
Cre08.g364200.t1.1	Cre08.g364200.t1.1; Cre02.g114575.t1.1; Cre06.g306014.t1.1; Cre10.g433866.t1.1	201; 218; 164; 160	Pfam	PF07282; PF07282; ; 	Putative transposase DNA-binding domain; Putative transposase DNA-binding domain; ; 	IPR010095; IPR010095; ; 	Transposase IS605, OrfB, C-terminal; Transposase IS605, OrfB, C-terminal; ; 
Cre08.g364931.t1.1	Cre08.g364950.t2.1; Cre08.g364931.t1.1; Cre08.g365205.t2.1; Cre08.g365200.t1.2; Cre08.g365150.t1.2; Cre08.g365300.t1.2; Cre08.g365100.t1.1; Cre08.g365050.t1.2; Cre08.g365103.t1.1	574; 542; 553; 553; 553; 553; 563; 553; 504	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
Cre08.g365065.t2.1	Cre08.g365065.t2.1; Cre08.g365204.t1.1	212; 169	Pfam	; 	; 	; 	; 
Cre08.g365750.t1.1	Cre08.g365750.t1.1; Cre08.g371800.t1.2	588; 555	Pfam	; 	; 	; 	; 
Cre08.g365900.t1.2	Cre08.g365900.t1.2; Cre08.g367500.t1.1; Cre08.g367400.t1.1	254; 260; 260	Pfam	PF00504; PF00504; PF00504	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein; Chlorophyll A-B binding protein	IPR022796; IPR022796; IPR022796	Chlorophyll A-B binding protein; Chlorophyll A-B binding protein; Chlorophyll A-B binding protein
Cre08.g368026.t1.1	Cre12.g553552.t1.1; Cre11.g478982.t1.1; Cre08.g368026.t1.1; Cre06.g257476.t1.1	69; 69; 69; 68	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre08.g368176.t1.1	Cre08.g368176.t1.1; Cre03.g159083.t1.2; Cre02.g119484.t1.2	108; 96; 101	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g368650.t1.2	Cre08.g368650.t1.2; Cre08.g369100.t1.2; Cre08.g369550.t1.2; Cre08.g369050.t1.2; Cre08.g371250.t1.1; Cre08.g371350.t1.2; Cre08.g371150.t1.2; Cre08.g370950.t1.2	120; 121; 120; 117; 115; 115; 115; 115	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
Cre08.g369451.t1.1	Cre08.g369451.t1.1; Cre09.g389097.t1.1; Cre06.g278207.t1.1	588; 596; 611	Pfam	PF00078; PF00078; PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase)	IPR000477; IPR000477; IPR000477	Reverse transcriptase domain; Reverse transcriptase domain; Reverse transcriptase domain
Cre08.g369700.t1.2	Cre08.g369700.t1.2; Cre08.g369900.t1.2	641; 595	Pfam	PF00069; PF00069	Protein kinase domain; Protein kinase domain	IPR000719; IPR000719	Protein kinase domain; Protein kinase domain
Cre08.g370000.t1.1	Cre08.g370000.t1.1; Cre08.g370750.t1.1	2254; 2223	Pfam	; 	; 	; 	; 
Cre08.g371879.t1.1	Cre08.g371879.t1.1; Cre12.g545704.t1.1	182; 231	Pfam	; 	; 	; 	; 
Cre08.g373341.t1.1	Cre08.g373341.t1.1; Cre15.g643393.t1.1; Cre02.g142707.t1.1; Cre03.g143687.t1.1; Cre13.g593833.t1.1	63; 63; 63; 59; 63	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre08.g373342.t1.1	Cre08.g373342.t1.1; Cre15.g643391.t1.1; Cre04.g217985.t1.1; Cre10.g445201.t3.1; Cre32.g758647.t1.1; Cre03.g143707.t1.1	103; 103; 103; 103; 110; 110	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
Cre08.g373343.t1.1	Cre02.g142747.t1.1; Cre08.g373343.t1.1; Cre17.g711503.t1.1; Cre21.g751847.t1.1; Cre15.g643390.t1.1; Cre13.g596395.t1.1; Cre22.g753997.t1.1; Cre37.g759947.t1.1; Cre09.g399849.t1.1	63; 63; 72; 72; 72; 72; 63; 59; 60	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
Cre08.g373345.t1.1	Cre23.g754797.t1.1; Cre08.g373345.t1.1; Cre08.g373370.t1.1	58; 58; 58	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g373351.t1.1	Cre08.g373351.t1.1; Cre22.g753947.t1.1	152; 145	Pfam	; 	; 	; 	; 
Cre08.g373354.t1.1	Cre08.g373354.t1.1; Cre14.g612400.t1.1	947; 997	Pfam	PF18758; PF18758	Kyakuja-Dileera-Zisupton transposase; Kyakuja-Dileera-Zisupton transposase	; 	; 
Cre08.g373355.t1.1	Cre08.g373355.t1.1; Cre22.g753897.t1.1; Cre08.g373367.t1.1	225; 207; 239	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g373357.t1.1	Cre08.g373357.t1.1; Cre22.g753747.t1.1; Cre22.g753797.t1.1	126; 142; 122	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g373360.t1.1	Cre08.g373360.t1.1; Cre04.g217926.t1.1	263; 237	Pfam	; 	; 	; 	; 
Cre08.g373361.t1.1	Cre08.g373361.t1.1; Cre23.g754497.t1.1; Cre02.g142326.t1.1	816; 860; 775	Pfam	PF18758; PF18758; PF18758	Kyakuja-Dileera-Zisupton transposase; Kyakuja-Dileera-Zisupton transposase; Kyakuja-Dileera-Zisupton transposase	; ; 	; ; 
Cre08.g373362.t1.1	Cre08.g373362.t1.1; Cre14.g622100.t1.2; Cre04.g224915.t1.1; Cre09.g402626.t1.1	508; 490; 471; 471	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre08.g373365.t1.1	Cre08.g373365.t1.1; Cre02.g142807.t1.1; Cre04.g217969.t1.1; Cre04.g212801.t1.1; Cre04.g224947.t1.1; Cre17.g702002.t1.1; Cre09.g402701.t1.1; Cre14.g622200.t1.2; Cre03.g198450.t1.2; Cre15.g642213.t1.1	439; 444; 444; 443; 443; 443; 443; 439; 443; 431	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
Cre08.g373366.t1.1	Cre08.g373366.t1.1; Cre09.g402626.t1.1; Cre04.g224915.t1.1; Cre03.g198236.t1.1	438; 471; 471; 392	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 
Cre08.g373368.t1.1	Cre08.g373368.t1.1; Cre02.g095042.t1.1	60; 94	Pfam	; 	; 	; 	; 
Cre08.g373373.t1.1	Cre08.g373373.t1.1; Cre12.g491950.t1.2; Cre22.g753597.t1.1; Cre23.g754447.t1.1; Cre12.g539141.t1.1; Cre09.g398983.t1.1; Cre04.g217988.t1.1; Cre10.g445371.t1.1	72; 72; 72; 72; 72; 72; 70; 70	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
Cre08.g373377.t1.1	Cre08.g373377.t1.1; Cre02.g141146.t1.1; Cre03.g208552.t1.1	75; 82; 78	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g373400.t1.2	Cre08.g373400.t1.2; Cre02.g142947.t1.1; Cre05.g243601.t1.1; Cre03.g143727.t1.1; Cre05.g235228.t1.1	579; 625; 599; 569; 557	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre08.g373436.t1.1	Cre08.g373436.t1.1; Cre27.g757447.t1.1; Cre10.g445251.t1.1; Cre25.g756147.t1.1; Cre16.g668481.t1.1	156; 176; 159; 132; 132	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
Cre08.g374436.t1.2	Cre08.g374436.t1.2; Cre06.g297250.t1.1	284; 285	Pfam	; 	; 	; 	; 
Cre08.g376550.t1.2	Cre33.g759047.t1.1; Cre08.g376550.t1.2	106; 106	Pfam	PF03259; PF03259	Roadblock/LC7 domain; Roadblock/LC7 domain	IPR004942; IPR004942	Roadblock/LAMTOR2 domain; Roadblock/LAMTOR2 domain
Cre08.g379150.t1.2	Cre08.g379150.t1.2; Cre08.g379187.t1.1	405; 405	Pfam	; 	; 	; 	; 
Cre08.g380850.t1.2	Cre08.g380850.t1.2; Cre08.g381200.t1.1; Cre08.g381350.t1.2; Cre16.g655316.t1.1; Cre16.g655350.t1.1; Cre08.g381150.t1.2; Cre08.g381300.t1.2; Cre08.g381250.t1.2	459; 463; 436; 451; 448; 458; 440; 440	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
Cre08.g381075.t1.1	Cre08.g381075.t1.1; Cre08.g381100.t1.1; Cre16.g655283.t1.1	297; 336; 360	Pfam	; ; 	; ; 	; ; 	; ; 
Cre08.g383600.t1.1	Cre08.g383600.t1.1; Cre08.g383400.t1.1	2097; 2127	Pfam	PF00530; PF00530	Scavenger receptor cysteine-rich domain; Scavenger receptor cysteine-rich domain	IPR001190; IPR001190	SRCR domain; SRCR domain
Cre11.g467522.t1.1	Cre11.g467522.t1.1; Cre17.g748047.t1.1; Cre05.g241630.t1.1	226; 187; 212	Pfam	PF00078; PF00078; 	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase (RNA-dependent DNA polymerase); 	IPR000477; IPR000477; 	Reverse transcriptase domain; Reverse transcriptase domain; 
Cre11.g467533.t1.1	Cre11.g467533.t1.1; Cre09.g416583.t1.1; Cre02.g144802.t1.1; Cre16.g672454.t1.1	367; 321; 323; 330	Pfam	; PF07282; ; 	; Putative transposase DNA-binding domain; ; 	; IPR010095; ; 	; Transposase IS605, OrfB, C-terminal; ; 
Cre11.g467538.t1.1	Cre11.g467538.t1.1; Cre11.g467539.t1.1; Cre11.g467540.t1.1	732; 718; 676	Pfam	PF09118, PF07250; PF09118, PF07250; PF07250, PF09118	Domain of unknown function (DUF1929), Glyoxal oxidase N-terminus; Domain of unknown function (DUF1929), Glyoxal oxidase N-terminus; Glyoxal oxidase N-terminus, Domain of unknown function (DUF1929)	IPR015202, IPR009880; IPR015202, IPR009880; IPR009880, IPR015202	Galactose oxidase-like, Early set domain, Glyoxal oxidase, N-terminal; Galactose oxidase-like, Early set domain, Glyoxal oxidase, N-terminal; Glyoxal oxidase, N-terminal, Galactose oxidase-like, Early set domain
Cre11.g467584.t1.1	Cre11.g467584.t1.1; Cre11.g467589.t1.1; Cre11.g467588.t1.1; Cre17.g713750.t1.2	694; 667; 667; 674	Pfam	PF00069; PF00069; PF00069; PF00069	Protein kinase domain; Protein kinase domain; Protein kinase domain; Protein kinase domain	IPR000719; IPR000719; IPR000719; IPR000719	Protein kinase domain; Protein kinase domain; Protein kinase domain; Protein kinase domain
